6828c825-aeac-44d0-b204-8d8cc64c84d6 Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium sensu stricto 1;
56b0dc1d-8515-496b-b846-c4d2d3fa6c6d Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Micrococcaceae;Kocuria;
58942b19-835f-4aa5-bb7c-92e3ad5e5f77 Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Pasteurellaceae;Haemophilus;
50d16369-286e-423e-9d3e-529090713593 Bacteria;Actinobacteriota;Actinobacteria;Actinomycetales;Actinomycetaceae;Actinotignum;
a7cbd7dc-9146-4d1b-bdfd-c815fd492867 Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast;
8f879c46-08ae-49bb-9c1a-2119f384cc58 Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Blastomonas;
db87d20b-4a3e-4b08-9ac6-aeea327d6e14 Bacteria;Proteobacteria;Alphaproteobacteria;Acetobacterales;Acetobacteraceae;Roseomonas;
f35d5f55-24e7-4216-bb5d-b59e81d33f94 Bacteria;Proteobacteria;Alphaproteobacteria;Acetobacterales;Acetobacteraceae;Roseomonas;
0f13c293-0a54-4cd0-94c4-a6a219829a00 Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Family XI;Anaerococcus;
754bd8df-37af-4245-97fe-d79d1f8ab7ad Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Family XI;Anaerococcus;
ced31aab-514a-41ae-bfb5-bf89a6dfcc7b Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;
786a3843-f918-44d0-86e7-229915862487 Bacteria;Bacteroidota;Bacteroidia;Cytophagales;Hymenobacteraceae;Hymenobacter;
0511f343-78f7-42de-8397-2efc6f0e4ec7 Bacteria;Firmicutes;Bacilli;Staphylococcales;Staphylococcaceae;Staphylococcus;
fab2c9bd-69af-4bb7-a1a9-56f69932ca5b Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Erwiniaceae;Pantoea;
e8ea7195-f591-457f-9d51-9a932fd9c1e7 Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;
e37782f8-5b29-4827-9ee0-2d42b1ba2256 Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter;
ca09d6a7-d2a2-4bb0-b32b-e001c22304f9 Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Erwiniaceae;Pantoea;
6ae99c06-b803-4acf-9cd7-9db810a82f3a Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Klebsiella;
