223dfe33-71e1-4b52-9ba3-a81baf2c2189 Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast;
e3fee2f9-06ce-4028-b9e3-d4ec5551e5ee Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast;
a56c5f2d-adf8-4bc9-b292-ffff8e094555 Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Thermomonas;
f60597b9-fcaf-41bf-bf73-c2a0d21cc16f Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Oxalobacteraceae;Noviherbaspirillum;
41a9f978-34f0-49bf-9b1b-5162b8c14582 Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Erwiniaceae;Pantoea;
b4f3d505-32b3-4aca-a117-4b1e6451fc73 Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast;
7b5616a8-5c78-4c5b-b931-aeafc26e636d Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium sensu stricto 1;
101e4e7a-a378-41aa-a3dc-f294c6b5c1bf Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Beijerinckiaceae;Methylobacterium-Methylorubrum;
f1e831cc-db04-4215-bec6-2ddaaae4e7cf Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast;
0508e9ed-4bd9-4d99-8009-bc9c18edf7fe Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Micrococcaceae;Micrococcus;
dbc8ad2c-1a9e-47f7-8830-d4e3ca341be3 Bacteria;Bacteroidota;Bacteroidia;Cytophagales;Hymenobacteraceae;Hymenobacter;
763755bf-ede0-4861-a0a4-033d21abc4f2 Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast;
87447b15-af27-4f7a-9f6c-28638d1fd4cb Bacteria;Bacteroidota;Bacteroidia;Cytophagales;Hymenobacteraceae;Hymenobacter;
5afc7a9e-a2fc-4980-93f5-3c8e1a5941a0 Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast;
9352aa39-6921-49f1-8142-574fd0536210 Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast;
